fileName,displayName,description,type
"03_Adventurers","03_Adventurers","　","bgm"
"03_Altar_of_Darkness","03_Altar_of_Darkness","　","bgm"
"03_Ancient_Castle","03_Ancient_Castle","　","bgm"
"03_A_Gentle_Breeze","03_A_Gentle_Breeze","　","bgm"
"03_A_Hero's_Return","03_A_Hero's_Return","　","bgm"
"03_Battle's_Advent","03_Battle's_Advent","　","bgm"
"03_Battle_Against_the_Demon","03_Battle_Against_the_Demon","　","bgm"
"03_Battle_to_the_Max","03_Battle_to_the_Max","　","bgm"
"03_Blessed_Waltz","03_Blessed_Waltz","　","bgm"
"03_Cathedral","03_Cathedral","　","bgm"
"03_Chasing_Fortune","03_Chasing_Fortune","　","bgm"
"03_Childhood_Memories","03_Childhood_Memories","　","bgm"
"03_Church","03_Church","　","bgm"
"03_Creeping_Darkness","03_Creeping_Darkness","　","bgm"
"03_Cybercity","03_Cybercity","　","bgm"
"03_Deserted_Mansion","03_Deserted_Mansion","　","bgm"
"03_Dreamy_Daze","03_Dreamy_Daze","　","bgm"
"03_Endless_Battle","03_Endless_Battle","　","bgm"
"03_Fantasy_Forest","03_Fantasy_Forest","　","bgm"
"03_Fountain_of_Solace","03_Fountain_of_Solace","　","bgm"
"03_Ice_Labyrinth","03_Ice_Labyrinth","　","bgm"
"03_Labyrinth","03_Labyrinth","　","bgm"
"03_Lonely_Departure","03_Lonely_Departure","　","bgm"
"03_March_of_the_Tiny_Soldier","03_March_of_the_Tiny_Soldier","　","bgm"
"03_Melee","03_Melee","　","bgm"
"03_Otherworldly_Corridor","03_Otherworldly_Corridor","　","bgm"
"03_Panic","03_Panic","　","bgm"
"03_Party_at_the_Royal_Palace","03_Party_at_the_Royal_Palace","　","bgm"
"03_Passage_of_Eternal_Times","03_Passage_of_Eternal_Times","　","bgm"
"03_Ruin_Rummage","03_Ruin_Rummage","　","bgm"
"03_Savage_Settlement","03_Savage_Settlement","　","bgm"
"03_Snow_Town","03_Snow_Town","　","bgm"
"03_Sorrow","03_Sorrow","　","bgm"
"03_Suspense","03_Suspense","　","bgm"
"03_The_Calm","03_The_Calm","　","bgm"
"03_The_Colosseum","03_The_Colosseum","　","bgm"
"03_The_Final_Battle","03_The_Final_Battle","　","bgm"
"03_Transcending_Memory","03_Transcending_Memory","　","bgm"
"03_Valley_Village","03_Valley_Village","　","bgm"
"03_Wings_to_the_sky","03_Wings_to_the_sky","　","bgm"
"2000_Battle1","2000_Battle1","　","bgm"
"2000_Battle3","2000_Battle3","　","bgm"
"2000_Blackmarket","2000_Blackmarket","　","bgm"
"2000_Distress","2000_Distress","　","bgm"
"2000_Ending3","2000_Ending3","　","bgm"
"2000_Fairy2","2000_Fairy2","　","bgm"
"2000_Field2","2000_Field2","　","bgm"
"2000_Field4","2000_Field4","　","bgm"
"2000_Game over3","2000_Game over3","　","bgm"
"2000_Opening1","2000_Opening1","　","bgm"
"2000_Opening2","2000_Opening2","　","bgm"
"2000_Ordeal","2000_Ordeal","　","bgm"
"2000_Peace","2000_Peace","　","bgm"
